Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Methven Cws,36645,H31665,-43.63978,171.65205,313,H,Niwa
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,
,,,,,,,
Earth Temp: 10cm,,,,,,,
Station,Date(NZST),Tearth(C),Depth(cm),,,,
36645,20100318:0700,12.8,10,,,,
36645,20100318:0800,12.6,10,,,,
36645,20100318:0900,12.4,10,,,,
36645,20100318:1000,12.4,10,,,,
36645,20100318:1100,12.4,10,,,,
36645,20100318:1200,12.6,10,,,,
36645,20100318:1300,13,10,,,,
36645,20100318:1400,13.4,10,,,,
36645,20100318:1500,13.8,10,,,,
36645,20100318:1600,14,10,,,,
36645,20100318:1700,14.3,10,,,,
36645,20100318:1800,14.6,10,,,,
36645,20100318:1900,14.8,10,,,,
36645,20100318:2000,14.9,10,,,,
36645,20100318:2100,14.9,10,,,,
36645,20100318:2200,14.8,10,,,,
36645,20100318:2300,14.6,10,,,,
36645,20100319:0000,14.4,10,,,,
36645,20100319:0100,14.3,10,,,,
36645,20100319:0200,14.2,10,,,,
36645,20100319:0300,14.1,10,,,,
36645,20100319:0400,14,10,,,,
36645,20100319:0500,14,10,,,,
36645,20100319:0600,13.8,10,,,,
36645,20100319:0700,13.8,10,,,,
36645,20100319:0800,13.7,10,,,,
36645,20100319:0900,13.6,10,,,,
36645,20100319:1000,13.7,10,,,,
36645,20100319:1100,13.7,10,,,,
36645,20100319:1200,14,10,,,,
36645,20100319:1300,14.3,10,,,,
36645,20100319:1400,14.7,10,,,,
36645,20100319:1500,15.2,10,,,,
36645,20100319:1600,15.8,10,,,,
36645,20100319:1700,16.3,10,,,,
36645,20100319:1800,16.6,10,,,,
36645,20100319:1900,16.8,10,,,,
36645,20100319:2000,16.8,10,,,,
36645,20100319:2100,16.5,10,,,,
36645,20100319:2200,16.3,10,,,,
36645,20100319:2300,16,10,,,,
36645,20100320:0000,15.6,10,,,,
36645,20100320:0100,15.4,10,,,,
36645,20100320:0200,15.1,10,,,,
36645,20100320:0300,14.8,10,,,,
36645,20100320:0400,14.6,10,,,,
36645,20100320:0500,14.4,10,,,,
36645,20100320:0600,14.1,10,,,,
36645,20100320:0700,13.9,10,,,,
36645,20100320:0800,13.8,10,,,,
36645,20100320:0900,13.7,10,,,,
36645,20100320:1000,13.7,10,,,,
36645,20100320:1100,13.8,10,,,,
36645,20100320:1200,14,10,,,,
36645,20100320:1300,14.2,10,,,,
36645,20100320:1400,14.4,10,,,,
36645,20100320:1500,14.6,10,,,,
36645,20100320:1600,14.8,10,,,,
36645,20100320:1700,15,10,,,,
36645,20100320:1800,15.3,10,,,,
36645,20100320:1900,15.5,10,,,,
36645,20100320:2000,15.6,10,,,,
36645,20100320:2100,15.5,10,,,,
36645,20100320:2200,15.4,10,,,,
36645,20100320:2300,15.4,10,,,,
36645,20100321:0000,15.3,10,,,,
36645,20100321:0100,15.2,10,,,,
36645,20100321:0200,15.2,10,,,,
36645,20100321:0300,15.1,10,,,,
36645,20100321:0400,15,10,,,,
36645,20100321:0500,14.9,10,,,,
36645,20100321:0600,14.8,10,,,,
36645,20100321:0700,14.6,10,,,,
36645,20100321:0800,14.5,10,,,,
36645,20100321:0900,14.3,10,,,,
36645,20100321:1000,14.2,10,,,,
36645,20100321:1100,14.2,10,,,,
36645,20100321:1200,14.2,10,,,,
36645,20100321:1300,14.5,10,,,,
36645,20100321:1400,14.8,10,,,,
36645,20100321:1500,15.2,10,,,,
36645,20100321:1600,15.6,10,,,,
36645,20100321:1700,16,10,,,,
36645,20100321:1800,16.4,10,,,,
36645,20100321:1900,16.6,10,,,,
36645,20100321:2000,16.7,10,,,,
36645,20100321:2100,16.6,10,,,,
36645,20100321:2200,16.4,10,,,,
36645,20100321:2300,16.3,10,,,,
36645,20100322:0000,16.2,10,,,,
36645,20100322:0100,16,10,,,,
36645,20100322:0200,16,10,,,,
36645,20100322:0300,15.8,10,,,,
36645,20100322:0400,15.7,10,,,,
36645,20100322:0500,15.6,10,,,,
36645,20100322:0600,15.6,10,,,,
36645,20100322:0700,15.4,10,,,,
36645,20100322:0800,15.4,10,,,,
36645,20100322:0900,15.3,10,,,,
36645,20100322:1000,15.2,10,,,,
36645,20100322:1100,15.3,10,,,,
36645,20100322:1200,15.4,10,,,,
36645,20100322:1300,15.6,10,,,,
36645,20100322:1400,15.8,10,,,,
36645,20100322:1500,16.2,10,,,,
36645,20100322:1600,16.6,10,,,,
36645,20100322:1700,16.9,10,,,,
36645,20100322:1800,17.2,10,,,,
36645,20100322:1900,17.2,10,,,,
36645,20100322:2000,17.1,10,,,,
36645,20100322:2100,16.9,10,,,,
36645,20100322:2200,16.6,10,,,,
36645,20100322:2300,16.3,10,,,,
36645,20100323:0000,16.1,10,,,,
36645,20100323:0100,15.8,10,,,,
36645,20100323:0200,15.5,10,,,,
36645,20100323:0300,15.2,10,,,,
36645,20100323:0400,14.9,10,,,,
36645,20100323:0500,14.6,10,,,,
36645,20100323:0600,14.4,10,,,,
36645,20100323:0700,14.1,10,,,,
36645,20100323:0800,13.9,10,,,,
36645,20100323:0900,13.6,10,,,,
36645,20100323:1000,13.5,10,,,,
36645,20100323:1100,13.5,10,,,,
36645,20100323:1200,13.8,10,,,,
36645,20100323:1300,14.1,10,,,,
36645,20100323:1400,14.6,10,,,,
36645,20100323:1500,15,10,,,,
36645,20100323:1600,15.6,10,,,,
36645,20100323:1700,16,10,,,,
36645,20100323:1800,16.2,10,,,,
36645,20100323:1900,16.2,10,,,,
36645,20100323:2000,16.2,10,,,,
36645,20100323:2100,16,10,,,,
36645,20100323:2200,15.8,10,,,,
36645,20100323:2300,15.6,10,,,,
36645,20100324:0000,15.5,10,,,,
36645,20100324:0100,15.3,10,,,,
36645,20100324:0200,15.2,10,,,,
36645,20100324:0300,15,10,,,,
36645,20100324:0400,14.8,10,,,,
36645,20100324:0500,14.7,10,,,,
36645,20100324:0600,14.5,10,,,,
36645,20100324:0700,14.4,10,,,,
36645,20100324:0800,14.2,10,,,,
36645,20100324:0900,14.1,10,,,,
36645,20100324:1000,14,10,,,,
36645,20100324:1100,14,10,,,,
36645,20100324:1200,14.1,10,,,,
36645,20100324:1300,14.3,10,,,,
36645,20100324:1400,14.4,10,,,,
36645,20100324:1500,14.5,10,,,,
36645,20100324:1600,14.7,10,,,,
36645,20100324:1700,14.9,10,,,,
36645,20100324:1800,15.1,10,,,,
36645,20100324:1900,15.2,10,,,,
36645,20100324:2000,15.1,10,,,,
36645,20100324:2100,14.9,10,,,,
36645,20100324:2200,14.6,10,,,,
36645,20100324:2300,14.3,10,,,,
36645,20100325:0000,14,10,,,,
36645,20100325:0100,13.6,10,,,,
36645,20100325:0200,13.4,10,,,,
36645,20100325:0300,13.1,10,,,,
36645,20100325:0400,12.9,10,,,,
36645,20100325:0500,12.7,10,,,,
36645,20100325:0600,12.5,10,,,,
36645,20100325:0700,12.4,10,,,,
36645,20100325:0800,12.2,10,,,,
36645,20100325:0900,12,10,,,,
36645,20100325:1000,11.8,10,,,,
36645,20100325:1100,11.8,10,,,,
36645,20100325:1200,12,10,,,,
36645,20100325:1300,12.4,10,,,,
36645,20100325:1400,13,10,,,,
36645,20100325:1500,13.7,10,,,,
36645,20100325:1600,14.4,10,,,,
36645,20100325:1700,14.9,10,,,,
36645,20100325:1800,15.4,10,,,,
36645,20100325:1900,15.6,10,,,,
36645,20100325:2000,15.5,10,,,,
36645,20100325:2100,15.4,10,,,,
36645,20100325:2200,15.1,10,,,,
36645,20100325:2300,14.8,10,,,,
36645,20100326:0000,14.6,10,,,,
36645,20100326:0100,14.4,10,,,,
36645,20100326:0200,14.2,10,,,,
36645,20100326:0300,14,10,,,,
36645,20100326:0400,13.8,10,,,,
36645,20100326:0500,13.6,10,,,,
36645,20100326:0600,13.5,10,,,,
36645,20100326:0700,13.4,10,,,,
36645,20100326:0800,13.2,10,,,,
36645,20100326:0900,13.2,10,,,,
36645,20100326:1000,13.2,10,,,,
36645,20100326:1100,13.3,10,,,,
36645,20100326:1200,13.6,10,,,,
36645,20100326:1300,13.9,10,,,,
36645,20100326:1400,14.4,10,,,,
36645,20100326:1500,15,10,,,,
36645,20100326:1600,15.5,10,,,,
36645,20100326:1700,16,10,,,,
36645,20100326:1800,16.3,10,,,,
36645,20100326:1900,16.4,10,,,,
36645,20100326:2000,16.4,10,,,,
36645,20100326:2100,16.2,10,,,,
36645,20100326:2200,16.1,10,,,,
36645,20100326:2300,15.9,10,,,,
36645,20100327:0000,15.8,10,,,,
36645,20100327:0100,15.6,10,,,,
36645,20100327:0200,15.5,10,,,,
36645,20100327:0300,15.4,10,,,,
36645,20100327:0400,15.3,10,,,,
36645,20100327:0500,15.2,10,,,,
36645,20100327:0600,15.2,10,,,,
36645,20100327:0700,15.1,10,,,,
36645,20100327:0800,15,10,,,,
36645,20100327:0900,15,10,,,,
36645,20100327:1000,14.9,10,,,,
36645,20100327:1100,14.9,10,,,,
36645,20100327:1200,14.9,10,,,,
36645,20100327:1300,14.9,10,,,,
36645,20100327:1400,14.9,10,,,,
36645,20100327:1500,15,10,,,,
36645,20100327:1600,15,10,,,,
36645,20100327:1700,15,10,,,,
36645,20100327:1800,15,10,,,,
36645,20100327:1900,14.9,10,,,,
36645,20100327:2000,14.8,10,,,,
36645,20100327:2100,14.7,10,,,,
36645,20100327:2200,14.6,10,,,,
36645,20100327:2300,14.5,10,,,,
36645,20100328:0000,14.4,10,,,,
36645,20100328:0100,14.2,10,,,,
36645,20100328:0200,14.1,10,,,,
36645,20100328:0300,14,10,,,,
36645,20100328:0400,13.9,10,,,,
36645,20100328:0500,13.7,10,,,,
36645,20100328:0600,13.6,10,,,,
36645,20100328:0700,13.6,10,,,,
36645,20100328:0800,13.5,10,,,,
36645,20100328:0900,13.4,10,,,,
36645,20100328:1000,13.4,10,,,,
36645,20100328:1100,13.3,10,,,,
36645,20100328:1200,13.4,10,,,,
36645,20100328:1300,13.5,10,,,,
36645,20100328:1400,13.6,10,,,,
36645,20100328:1500,13.8,10,,,,
36645,20100328:1600,13.9,10,,,,
36645,20100328:1700,14,10,,,,
36645,20100328:1800,14,10,,,,
36645,20100328:1900,14,10,,,,
36645,20100328:2000,14,10,,,,
36645,20100328:2100,13.9,10,,,,
36645,20100328:2200,13.8,10,,,,
36645,20100328:2300,13.6,10,,,,
36645,20100329:0000,13.4,10,,,,
36645,20100329:0100,13.2,10,,,,
36645,20100329:0200,12.9,10,,,,
36645,20100329:0300,12.7,10,,,,
36645,20100329:0400,12.4,10,,,,
36645,20100329:0500,12.2,10,,,,
36645,20100329:0600,12,10,,,,
36645,20100329:0700,11.8,10,,,,
36645,20100329:0800,11.6,10,,,,
36645,20100329:0900,11.4,10,,,,
36645,20100329:1000,11.3,10,,,,
36645,20100329:1100,11.4,10,,,,
36645,20100329:1200,11.6,10,,,,
36645,20100329:1300,12,10,,,,
36645,20100329:1400,12.4,10,,,,
36645,20100329:1500,13,10,,,,
36645,20100329:1600,13.6,10,,,,
36645,20100329:1700,14.1,10,,,,
36645,20100329:1800,14.4,10,,,,
36645,20100329:1900,14.7,10,,,,
36645,20100329:2000,14.7,10,,,,
36645,20100329:2100,14.6,10,,,,
36645,20100329:2200,14.5,10,,,,
36645,20100329:2300,14.3,10,,,,
36645,20100330:0000,14.1,10,,,,
36645,20100330:0100,13.9,10,,,,
36645,20100330:0200,13.7,10,,,,
36645,20100330:0300,13.5,10,,,,
36645,20100330:0400,13.4,10,,,,
36645,20100330:0500,13.3,10,,,,
36645,20100330:0600,13.3,10,,,,
36645,20100330:0700,13.2,10,,,,
36645,20100330:0800,13.2,10,,,,
36645,20100330:0900,13.2,10,,,,
36645,20100330:1000,13.3,10,,,,
36645,20100330:1100,13.4,10,,,,
36645,20100330:1200,13.6,10,,,,
36645,20100330:1300,14,10,,,,
36645,20100330:1400,14.4,10,,,,
36645,20100330:1500,14.8,10,,,,
36645,20100330:1600,15.2,10,,,,
36645,20100330:1700,15.6,10,,,,
36645,20100330:1800,15.8,10,,,,
36645,20100330:1900,16,10,,,,
36645,20100330:2000,16,10,,,,
36645,20100330:2100,15.8,10,,,,
36645,20100330:2200,15.7,10,,,,
36645,20100330:2300,15.5,10,,,,
36645,20100331:0000,15.4,10,,,,
36645,20100331:0100,15.2,10,,,,
36645,20100331:0200,15.1,10,,,,
36645,20100331:0300,15,10,,,,
36645,20100331:0400,14.9,10,,,,
36645,20100331:0500,14.8,10,,,,
36645,20100331:0600,14.7,10,,,,
36645,20100331:0700,14.6,10,,,,
36645,20100331:0800,14.4,10,,,,
36645,20100331:0900,14.3,10,,,,
36645,20100331:1000,14.3,10,,,,
36645,20100331:1100,14.3,10,,,,
36645,20100331:1200,14.4,10,,,,
36645,20100331:1300,14.6,10,,,,
36645,20100331:1400,15.1,10,,,,
36645,20100331:1500,15.6,10,,,,
36645,20100331:1600,16.1,10,,,,
36645,20100331:1700,16.4,10,,,,
36645,20100331:1800,16.8,10,,,,
36645,20100331:1900,16.8,10,,,,
36645,20100331:2000,16.8,10,,,,
36645,20100331:2100,16.6,10,,,,
36645,20100331:2200,16.3,10,,,,
36645,20100331:2300,16.1,10,,,,
36645,20100401:0000,15.9,10,,,,
36645,20100401:0100,15.6,10,,,,
36645,20100401:0200,15.4,10,,,,
36645,20100401:0300,15.2,10,,,,
36645,20100401:0400,15,10,,,,
36645,20100401:0500,14.8,10,,,,
36645,20100401:0600,14.6,10,,,,
36645,20100401:0700,14.4,10,,,,
36645,20100401:0800,14.3,10,,,,
36645,20100401:0900,14.1,10,,,,
36645,20100401:1000,14,10,,,,
36645,20100401:1100,14,10,,,,
36645,20100401:1200,14.2,10,,,,
36645,20100401:1300,14.5,10,,,,
36645,20100401:1400,15,10,,,,
36645,20100401:1500,15.6,10,,,,
36645,20100401:1600,16.1,10,,,,
36645,20100401:1700,16.6,10,,,,
36645,20100401:1800,16.9,10,,,,
36645,20100401:1900,17.1,10,,,,
36645,20100401:2000,17,10,,,,
36645,20100401:2100,16.8,10,,,,
36645,20100401:2200,16.6,10,,,,
36645,20100401:2300,16.5,10,,,,
36645,20100402:0000,16.3,10,,,,
36645,20100402:0100,16.1,10,,,,
36645,20100402:0200,16,10,,,,
36645,20100402:0300,15.8,10,,,,
36645,20100402:0400,15.7,10,,,,
36645,20100402:0500,15.6,10,,,,
36645,20100402:0600,15.4,10,,,,
36645,20100402:0700,15.3,10,,,,
36645,20100402:0800,15.2,10,,,,
36645,20100402:0900,15.1,10,,,,
36645,20100402:1000,15,10,,,,
36645,20100402:1100,15,10,,,,
36645,20100402:1200,15.1,10,,,,
36645,20100402:1300,15.4,10,,,,
36645,20100402:1400,15.8,10,,,,
36645,20100402:1500,16.3,10,,,,
36645,20100402:1600,16.8,10,,,,
36645,20100402:1700,17.2,10,,,,
36645,20100402:1800,17.6,10,,,,
36645,20100402:1900,17.7,10,,,,
36645,20100402:2000,17.6,10,,,,
36645,20100402:2100,17.4,10,,,,
36645,20100402:2200,17.2,10,,,,
36645,20100402:2300,16.9,10,,,,
36645,20100403:0000,16.6,10,,,,
36645,20100403:0100,16.4,10,,,,
36645,20100403:0200,16.2,10,,,,
36645,20100403:0300,16,10,,,,
36645,20100403:0400,15.7,10,,,,
36645,20100403:0500,15.6,10,,,,
36645,20100403:0600,15.4,10,,,,
36645,20100403:0700,15.2,10,,,,
36645,20100403:0800,15,10,,,,
36645,20100403:0900,14.9,10,,,,
36645,20100403:1000,14.8,10,,,,
36645,20100403:1100,14.7,10,,,,
36645,20100403:1200,14.9,10,,,,
36645,20100403:1300,15.2,10,,,,
36645,20100403:1400,15.5,10,,,,
36645,20100403:1500,16,10,,,,
36645,20100403:1600,16.5,10,,,,
36645,20100403:1700,16.8,10,,,,
36645,20100403:1800,17,10,,,,
36645,20100403:1900,17.1,10,,,,
36645,20100403:2000,17,10,,,,
36645,20100403:2100,16.8,10,,,,
36645,20100403:2200,16.5,10,,,,
36645,20100403:2300,16.3,10,,,,
36645,20100404:0000,16.1,10,,,,
36645,20100404:0100,15.9,10,,,,
36645,20100404:0200,15.6,10,,,,
36645,20100404:0300,15.5,10,,,,
36645,20100404:0400,15.3,10,,,,
36645,20100404:0500,15.2,10,,,,
36645,20100404:0600,15.1,10,,,,
36645,20100404:0700,15,10,,,,
36645,20100404:0800,14.8,10,,,,
36645,20100404:0900,14.6,10,,,,
36645,20100404:1000,14.4,10,,,,
36645,20100404:1100,14.3,10,,,,
36645,20100404:1200,14.2,10,,,,
36645,20100404:1300,14.2,10,,,,
36645,20100404:1400,14.2,10,,,,
36645,20100404:1500,14.4,10,,,,
36645,20100404:1600,14.4,10,,,,
36645,20100404:1700,14.5,10,,,,
36645,20100404:1800,14.5,10,,,,
36645,20100404:1900,14.5,10,,,,
36645,20100404:2000,14.4,10,,,,
36645,20100404:2100,14.2,10,,,,
36645,20100404:2200,14.1,10,,,,
36645,20100404:2300,13.9,10,,,,
36645,20100405:0000,13.8,10,,,,
36645,20100405:0100,13.6,10,,,,
36645,20100405:0200,13.4,10,,,,
36645,20100405:0300,13.3,10,,,,
36645,20100405:0400,13.1,10,,,,
36645,20100405:0500,13,10,,,,
36645,20100405:0600,12.8,10,,,,
36645,20100405:0700,12.7,10,,,,
36645,20100405:0800,12.6,10,,,,
36645,20100405:0900,12.5,10,,,,
36645,20100405:1000,12.4,10,,,,
36645,20100405:1100,12.4,10,,,,
36645,20100405:1200,12.6,10,,,,
36645,20100405:1300,13,10,,,,
36645,20100405:1400,13.4,10,,,,
36645,20100405:1500,13.9,10,,,,
36645,20100405:1600,14.4,10,,,,
36645,20100405:1700,14.8,10,,,,
36645,20100405:1800,15,10,,,,
36645,20100405:1900,15.1,10,,,,
36645,20100405:2000,15,10,,,,
36645,20100405:2100,14.8,10,,,,
36645,20100405:2200,14.6,10,,,,
36645,20100405:2300,14.5,10,,,,
36645,20100406:0000,14.3,10,,,,
36645,20100406:0100,14.2,10,,,,
36645,20100406:0200,14,10,,,,
36645,20100406:0300,13.9,10,,,,
36645,20100406:0400,13.8,10,,,,
36645,20100406:0500,13.6,10,,,,
36645,20100406:0600,13.6,10,,,,
36645,20100406:0700,13.4,10,,,,
36645,20100406:0800,13.4,10,,,,
36645,20100406:0900,13.2,10,,,,
36645,20100406:1000,13,10,,,,
36645,20100406:1100,12.9,10,,,,
36645,20100406:1200,12.7,10,,,,
36645,20100406:1300,12.8,10,,,,
36645,20100406:1400,13,10,,,,
36645,20100406:1500,13.2,10,,,,
36645,20100406:1600,13.4,10,,,,
36645,20100406:1700,13.5,10,,,,
36645,20100406:1800,13.5,10,,,,
36645,20100406:1900,13.5,10,,,,
36645,20100406:2000,13.4,10,,,,
36645,20100406:2100,13.3,10,,,,
36645,20100406:2200,13.2,10,,,,
36645,20100406:2300,13,10,,,,
36645,20100407:0000,12.8,10,,,,
36645,20100407:0100,12.8,10,,,,
36645,20100407:0200,12.6,10,,,,
36645,20100407:0300,12.5,10,,,,
36645,20100407:0400,12.4,10,,,,
36645,20100407:0500,12.2,10,,,,
36645,20100407:0600,12.1,10,,,,
36645,20100407:0700,12,10,,,,
36645,20100407:0800,11.9,10,,,,
36645,20100407:0900,11.7,10,,,,
36645,20100407:1000,11.6,10,,,,
36645,20100407:1100,11.5,10,,,,
36645,20100407:1200,11.7,10,,,,
36645,20100407:1300,12,10,,,,
36645,20100407:1400,12.4,10,,,,
36645,20100407:1500,12.8,10,,,,
36645,20100407:1600,13.3,10,,,,
36645,20100407:1700,13.6,10,,,,
36645,20100407:1800,13.9,10,,,,
36645,20100407:1900,14,10,,,,
36645,20100407:2000,14,10,,,,
36645,20100407:2100,13.8,10,,,,
36645,20100407:2200,13.5,10,,,,
36645,20100407:2300,13.2,10,,,,
36645,20100408:0000,12.9,10,,,,
36645,20100408:0100,12.6,10,,,,
36645,20100408:0200,12.3,10,,,,
36645,20100408:0300,12,10,,,,
36645,20100408:0400,11.7,10,,,,
36645,20100408:0500,11.4,10,,,,
36645,20100408:0600,11.2,10,,,,
36645,20100408:0700,11,10,,,,
36645,20100408:0800,10.8,10,,,,
36645,20100408:0900,10.6,10,,,,
36645,20100408:1000,10.4,10,,,,
36645,20100408:1100,10.3,10,,,,
36645,20100408:1200,10.5,10,,,,
36645,20100408:1300,10.8,10,,,,
36645,20100408:1400,11.2,10,,,,
36645,20100408:1500,11.8,10,,,,
36645,20100408:1600,12.4,10,,,,
36645,20100408:1700,12.8,10,,,,
36645,20100408:1800,13.1,10,,,,
36645,20100408:1900,13.3,10,,,,
36645,20100408:2000,13.3,10,,,,
36645,20100408:2100,13.1,10,,,,
36645,20100408:2200,12.9,10,,,,
36645,20100408:2300,12.7,10,,,,
36645,20100409:0000,12.4,10,,,,
36645,20100409:0100,12.1,10,,,,
36645,20100409:0200,11.8,10,,,,
36645,20100409:0300,11.6,10,,,,
36645,20100409:0400,11.3,10,,,,
36645,20100409:0500,11.1,10,,,,
36645,20100409:0600,10.9,10,,,,
36645,20100409:0700,10.7,10,,,,
36645,20100409:0800,10.5,10,,,,
36645,20100409:0900,10.3,10,,,,
36645,20100409:1000,10.2,10,,,,
36645,20100409:1100,10.1,10,,,,
36645,20100409:1200,10.3,10,,,,
36645,20100409:1300,10.6,10,,,,
36645,20100409:1400,11.2,10,,,,
36645,20100409:1500,11.8,10,,,,
36645,20100409:1600,12.4,10,,,,
36645,20100409:1700,12.9,10,,,,
36645,20100409:1800,13.4,10,,,,
36645,20100409:1900,13.6,10,,,,
36645,20100409:2000,13.6,10,,,,
36645,20100409:2100,13.5,10,,,,
36645,20100409:2200,13.3,10,,,,
36645,20100409:2300,13,10,,,,
36645,20100410:0000,12.7,10,,,,
36645,20100410:0100,12.4,10,,,,
36645,20100410:0200,12.1,10,,,,
36645,20100410:0300,11.8,10,,,,
36645,20100410:0400,11.6,10,,,,
36645,20100410:0500,11.4,10,,,,
36645,20100410:0600,11.2,10,,,,
36645,20100410:0700,11,10,,,,
36645,20100410:0800,10.9,10,,,,
36645,20100410:0900,10.7,10,,,,
36645,20100410:1000,10.6,10,,,,
36645,20100410:1100,10.5,10,,,,
36645,20100410:1200,10.6,10,,,,
36645,20100410:1300,11,10,,,,
36645,20100410:1400,11.4,10,,,,
36645,20100410:1500,12,10,,,,
36645,20100410:1600,12.6,10,,,,
36645,20100410:1700,13.1,10,,,,
36645,20100410:1800,13.5,10,,,,
36645,20100410:1900,13.7,10,,,,
36645,20100410:2000,13.8,10,,,,
36645,20100410:2100,13.6,10,,,,
36645,20100410:2200,13.4,10,,,,
36645,20100410:2300,13.2,10,,,,
36645,20100411:0000,12.9,10,,,,
36645,20100411:0100,12.7,10,,,,
36645,20100411:0200,12.5,10,,,,
36645,20100411:0300,12.3,10,,,,
36645,20100411:0400,12.1,10,,,,
36645,20100411:0500,11.9,10,,,,
36645,20100411:0600,11.6,10,,,,
36645,20100411:0700,11.4,10,,,,
36645,20100411:0800,11.1,10,,,,
36645,20100411:0900,10.8,10,,,,
36645,20100411:1000,10.6,10,,,,
36645,20100411:1100,10.6,10,,,,
36645,20100411:1200,10.6,10,,,,
36645,20100411:1300,11,10,,,,
36645,20100411:1400,11.4,10,,,,
36645,20100411:1500,12,10,,,,
36645,20100411:1600,12.6,10,,,,
36645,20100411:1700,13.1,10,,,,
36645,20100411:1800,13.4,10,,,,
36645,20100411:1900,13.6,10,,,,
36645,20100411:2000,13.6,10,,,,
36645,20100411:2100,13.4,10,,,,
36645,20100411:2200,13.2,10,,,,
36645,20100411:2300,13.1,10,,,,
36645,20100412:0000,13,10,,,,
36645,20100412:0100,12.8,10,,,,
36645,20100412:0200,12.8,10,,,,
36645,20100412:0300,12.7,10,,,,
36645,20100412:0400,12.6,10,,,,
36645,20100412:0500,12.6,10,,,,
36645,20100412:0600,12.6,10,,,,
36645,20100412:0700,12.5,10,,,,
36645,20100412:0800,12.5,10,,,,
36645,20100412:0900,12.4,10,,,,
36645,20100412:1000,12.4,10,,,,
36645,20100412:1100,12.4,10,,,,
36645,20100412:1200,12.5,10,,,,
36645,20100412:1300,12.8,10,,,,
36645,20100412:1400,13.2,10,,,,
36645,20100412:1500,13.6,10,,,,
36645,20100412:1600,14,10,,,,
36645,20100412:1700,14.4,10,,,,
36645,20100412:1800,14.6,10,,,,
36645,20100412:1900,14.7,10,,,,
36645,20100412:2000,14.7,10,,,,
36645,20100412:2100,14.6,10,,,,
36645,20100412:2200,14.4,10,,,,
36645,20100412:2300,14.3,10,,,,
36645,20100413:0000,14.1,10,,,,
36645,20100413:0100,14,10,,,,
36645,20100413:0200,13.9,10,,,,
36645,20100413:0300,13.7,10,,,,
36645,20100413:0400,13.6,10,,,,
36645,20100413:0500,13.6,10,,,,
36645,20100413:0600,13.5,10,,,,
36645,20100413:0700,13.4,10,,,,
36645,20100413:0800,13.3,10,,,,
36645,20100413:0900,13.3,10,,,,
36645,20100413:1000,13.3,10,,,,
36645,20100413:1100,13.2,10,,,,
36645,20100413:1200,13.3,10,,,,
36645,20100413:1300,13.4,10,,,,
36645,20100413:1400,13.6,10,,,,
36645,20100413:1500,13.8,10,,,,
36645,20100413:1600,14,10,,,,
36645,20100413:1700,14.2,10,,,,
36645,20100413:1800,14.4,10,,,,
36645,20100413:1900,14.4,10,,,,
36645,20100413:2000,14.4,10,,,,
36645,20100413:2100,14.3,10,,,,
36645,20100413:2200,14.2,10,,,,
36645,20100413:2300,14,10,,,,
36645,20100414:0000,13.8,10,,,,
36645,20100414:0100,13.6,10,,,,
36645,20100414:0200,13.4,10,,,,
36645,20100414:0300,13.3,10,,,,
36645,20100414:0400,13.2,10,,,,
36645,20100414:0500,13.1,10,,,,
36645,20100414:0600,13,10,,,,
36645,20100414:0700,12.9,10,,,,
36645,20100414:0800,12.8,10,,,,
36645,20100414:0900,12.6,10,,,,
36645,20100414:1000,12.5,10,,,,
36645,20100414:1100,12.4,10,,,,
36645,20100414:1200,12.6,10,,,,
36645,20100414:1300,12.8,10,,,,
36645,20100414:1400,13.3,10,,,,
36645,20100414:1500,13.6,10,,,,
36645,20100414:1600,13.9,10,,,,
36645,20100414:1700,14.1,10,,,,
36645,20100414:1800,14.1,10,,,,
36645,20100414:1900,14.1,10,,,,
36645,20100414:2000,14,10,,,,
36645,20100414:2100,13.8,10,,,,
36645,20100414:2200,13.7,10,,,,
36645,20100414:2300,13.5,10,,,,
36645,20100415:0000,13.4,10,,,,
36645,20100415:0100,13.2,10,,,,
36645,20100415:0200,13.2,10,,,,
36645,20100415:0300,13,10,,,,
36645,20100415:0400,13,10,,,,
36645,20100415:0500,12.8,10,,,,
36645,20100415:0600,12.7,10,,,,
36645,20100415:0700,12.6,10,,,,
36645,20100415:0800,12.4,10,,,,
36645,20100415:0900,12.4,10,,,,
36645,20100415:1000,12.3,10,,,,
36645,20100415:1100,12.3,10,,,,
36645,20100415:1200,12.4,10,,,,
36645,20100415:1300,12.6,10,,,,
36645,20100415:1400,12.9,10,,,,
36645,20100415:1500,13.3,10,,,,
36645,20100415:1600,13.7,10,,,,
36645,20100415:1700,14,10,,,,
36645,20100415:1800,14.3,10,,,,
36645,20100415:1900,14.4,10,,,,
36645,20100415:2000,14.3,10,,,,
36645,20100415:2100,14.1,10,,,,
36645,20100415:2200,13.8,10,,,,
36645,20100415:2300,13.6,10,,,,
36645,20100416:0000,13.4,10,,,,
36645,20100416:0100,13.3,10,,,,
36645,20100416:0200,13.1,10,,,,
36645,20100416:0300,12.9,10,,,,
36645,20100416:0400,12.8,10,,,,
