Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Methven Cws,36645,H31665,-43.63978,171.65205,313,H,Niwa
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,
,,,,,,,
Earth Temp: 10cm,,,,,,,
Station,Date(NZST),Tearth(C),Depth(cm),,,,
36645,20090107:0400,18.6,10,,,,
36645,20090107:0500,18.4,10,,,,
36645,20090107:0600,18.3,10,,,,
36645,20090107:0700,18.2,10,,,,
36645,20090107:0800,18.1,10,,,,
36645,20090107:0900,18.2,10,,,,
36645,20090107:1000,18.4,10,,,,
36645,20090107:1100,18.8,10,,,,
36645,20090107:1200,19.2,10,,,,
36645,20090107:1300,19.8,10,,,,
36645,20090107:1400,20.4,10,,,,
36645,20090107:1500,21.1,10,,,,
36645,20090107:1600,21.8,10,,,,
36645,20090107:1700,22.2,10,,,,
36645,20090107:1800,22.6,10,,,,
36645,20090107:1900,22.8,10,,,,
36645,20090107:2000,22.7,10,,,,
36645,20090107:2100,22.5,10,,,,
36645,20090107:2200,22.2,10,,,,
36645,20090107:2300,21.9,10,,,,
36645,20090108:0000,21.6,10,,,,
36645,20090108:0100,21.3,10,,,,
36645,20090108:0200,21,10,,,,
36645,20090108:0300,20.8,10,,,,
36645,20090108:0400,20.6,10,,,,
36645,20090108:0500,20.4,10,,,,
36645,20090108:0600,20.1,10,,,,
36645,20090108:0700,20,10,,,,
36645,20090108:0800,19.8,10,,,,
36645,20090108:0900,19.8,10,,,,
36645,20090108:1000,19.9,10,,,,
36645,20090108:1100,20.2,10,,,,
36645,20090108:1200,20.6,10,,,,
36645,20090108:1300,21,10,,,,
36645,20090108:1400,21.6,10,,,,
36645,20090108:1500,22.1,10,,,,
36645,20090108:1600,22.5,10,,,,
36645,20090108:1700,22.7,10,,,,
36645,20090108:1800,22.8,10,,,,
36645,20090108:1900,22.9,10,,,,
36645,20090108:2000,22.8,10,,,,
36645,20090108:2100,22.6,10,,,,
36645,20090108:2200,22.3,10,,,,
36645,20090108:2300,22.1,10,,,,
36645,20090109:0000,21.8,10,,,,
36645,20090109:0100,21.6,10,,,,
36645,20090109:0200,21.4,10,,,,
36645,20090109:0300,21.2,10,,,,
36645,20090109:0400,21,10,,,,
36645,20090109:0500,20.8,10,,,,
36645,20090109:0600,20.6,10,,,,
36645,20090109:0700,20.4,10,,,,
36645,20090109:0800,20.2,10,,,,
36645,20090109:0900,20.1,10,,,,
36645,20090109:1000,20,10,,,,
36645,20090109:1100,20,10,,,,
36645,20090109:1200,20.1,10,,,,
36645,20090109:1300,20.3,10,,,,
36645,20090109:1400,20.7,10,,,,
36645,20090109:1500,21.1,10,,,,
36645,20090109:1600,21.4,10,,,,
36645,20090109:1700,21.6,10,,,,
36645,20090109:1800,21.7,10,,,,
36645,20090109:1900,21.7,10,,,,
36645,20090109:2000,21.6,10,,,,
36645,20090109:2100,21.4,10,,,,
36645,20090109:2200,21.2,10,,,,
36645,20090109:2300,21,10,,,,
36645,20090110:0000,20.7,10,,,,
36645,20090110:0100,20.5,10,,,,
36645,20090110:0200,20.2,10,,,,
36645,20090110:0300,20,10,,,,
36645,20090110:0400,19.8,10,,,,
36645,20090110:0500,19.6,10,,,,
36645,20090110:0600,19.4,10,,,,
36645,20090110:0700,19.2,10,,,,
36645,20090110:0800,19,10,,,,
36645,20090110:0900,18.8,10,,,,
36645,20090110:1000,18.6,10,,,,
36645,20090110:1100,18.5,10,,,,
36645,20090110:1200,18.5,10,,,,
36645,20090110:1300,18.5,10,,,,
36645,20090110:1400,18.6,10,,,,
36645,20090110:1500,18.7,10,,,,
36645,20090110:1600,18.7,10,,,,
36645,20090110:1700,18.7,10,,,,
36645,20090110:1800,18.6,10,,,,
36645,20090110:1900,18.6,10,,,,
36645,20090110:2000,18.4,10,,,,
36645,20090110:2100,18.2,10,,,,
36645,20090110:2200,18.1,10,,,,
36645,20090110:2300,17.9,10,,,,
36645,20090111:0000,17.7,10,,,,
36645,20090111:0100,17.5,10,,,,
36645,20090111:0200,17.4,10,,,,
36645,20090111:0300,17.2,10,,,,
36645,20090111:0400,17.1,10,,,,
36645,20090111:0500,16.9,10,,,,
36645,20090111:0600,16.8,10,,,,
36645,20090111:0700,16.7,10,,,,
36645,20090111:0800,16.6,10,,,,
36645,20090111:0900,16.5,10,,,,
36645,20090111:1000,16.6,10,,,,
36645,20090111:1100,16.8,10,,,,
36645,20090111:1200,17.2,10,,,,
36645,20090111:1300,17.4,10,,,,
36645,20090111:1400,17.8,10,,,,
36645,20090111:1500,18.1,10,,,,
36645,20090111:1600,18.6,10,,,,
36645,20090111:1700,19,10,,,,
36645,20090111:1800,19.5,10,,,,
36645,20090111:1900,19.8,10,,,,
36645,20090111:2000,19.8,10,,,,
36645,20090111:2100,19.7,10,,,,
36645,20090111:2200,19.4,10,,,,
36645,20090111:2300,19.1,10,,,,
36645,20090112:0000,18.7,10,,,,
36645,20090112:0100,18.4,10,,,,
36645,20090112:0200,18,10,,,,
36645,20090112:0300,17.7,10,,,,
36645,20090112:0400,17.4,10,,,,
36645,20090112:0500,17,10,,,,
36645,20090112:0600,16.7,10,,,,
36645,20090112:0700,16.5,10,,,,
36645,20090112:0800,16.4,10,,,,
36645,20090112:0900,16.4,10,,,,
36645,20090112:1000,16.6,10,,,,
36645,20090112:1100,17,10,,,,
36645,20090112:1200,17.5,10,,,,
36645,20090112:1300,18.1,10,,,,
36645,20090112:1400,18.9,10,,,,
36645,20090112:1500,19.7,10,,,,
36645,20090112:1600,20.4,10,,,,
36645,20090112:1700,21,10,,,,
36645,20090112:1800,21.4,10,,,,
36645,20090112:1900,21.5,10,,,,
36645,20090112:2000,21.5,10,,,,
36645,20090112:2100,21.3,10,,,,
36645,20090112:2200,21,10,,,,
36645,20090112:2300,20.6,10,,,,
36645,20090113:0000,20.2,10,,,,
36645,20090113:0100,19.8,10,,,,
36645,20090113:0200,19.4,10,,,,
36645,20090113:0300,19,10,,,,
36645,20090113:0400,18.6,10,,,,
36645,20090113:0500,18.2,10,,,,
36645,20090113:0600,18,10,,,,
36645,20090113:0700,17.8,10,,,,
36645,20090113:0800,17.6,10,,,,
36645,20090113:0900,17.6,10,,,,
36645,20090113:1000,17.6,10,,,,
36645,20090113:1100,17.8,10,,,,
36645,20090113:1200,18.1,10,,,,
36645,20090113:1300,18.3,10,,,,
36645,20090113:1400,18.5,10,,,,
36645,20090113:1500,18.7,10,,,,
36645,20090113:1600,18.8,10,,,,
36645,20090113:1700,18.9,10,,,,
36645,20090113:1800,18.8,10,,,,
36645,20090113:1900,18.8,10,,,,
36645,20090113:2000,18.8,10,,,,
36645,20090113:2100,18.8,10,,,,
36645,20090113:2200,18.7,10,,,,
36645,20090113:2300,18.6,10,,,,
36645,20090114:0000,18.4,10,,,,
36645,20090114:0100,18.2,10,,,,
36645,20090114:0200,18,10,,,,
36645,20090114:0300,17.7,10,,,,
36645,20090114:0400,17.5,10,,,,
36645,20090114:0500,17.2,10,,,,
36645,20090114:0600,16.9,10,,,,
36645,20090114:0700,16.6,10,,,,
36645,20090114:0800,16.4,10,,,,
36645,20090114:0900,16.4,10,,,,
36645,20090114:1000,16.6,10,,,,
36645,20090114:1100,17,10,,,,
36645,20090114:1200,17.6,10,,,,
36645,20090114:1300,18.2,10,,,,
36645,20090114:1400,19,10,,,,
36645,20090114:1500,19.8,10,,,,
36645,20090114:1600,20.4,10,,,,
36645,20090114:1700,20.9,10,,,,
36645,20090114:1800,21.2,10,,,,
36645,20090114:1900,21.4,10,,,,
36645,20090114:2000,21.4,10,,,,
36645,20090114:2100,21.2,10,,,,
36645,20090114:2200,21,10,,,,
36645,20090114:2300,20.6,10,,,,
36645,20090115:0000,20.2,10,,,,
36645,20090115:0100,19.9,10,,,,
36645,20090115:0200,19.6,10,,,,
36645,20090115:0300,19.2,10,,,,
36645,20090115:0400,18.8,10,,,,
36645,20090115:0500,18.6,10,,,,
36645,20090115:0600,18.3,10,,,,
36645,20090115:0700,18,10,,,,
36645,20090115:0800,17.8,10,,,,
36645,20090115:0900,17.7,10,,,,
36645,20090115:1000,17.8,10,,,,
36645,20090115:1100,18.1,10,,,,
36645,20090115:1200,18.6,10,,,,
36645,20090115:1300,19.2,10,,,,
36645,20090115:1400,20,10,,,,
36645,20090115:1500,20.7,10,,,,
36645,20090115:1600,21.2,10,,,,
36645,20090115:1700,21.7,10,,,,
36645,20090115:1800,22,10,,,,
36645,20090115:1900,22.3,10,,,,
36645,20090115:2000,22.4,10,,,,
36645,20090115:2100,22.3,10,,,,
36645,20090115:2200,22,10,,,,
36645,20090115:2300,21.7,10,,,,
36645,20090116:0000,21.3,10,,,,
36645,20090116:0100,21,10,,,,
